level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	101	69	211	1	95.0	 
5	1	2	1	1	1	142	84	130	12	88.820541	CONFIRMATION
5	1	3	1	1	1	100	69	2	38	95.0	 
5	1	4	1	1	1	310	69	2	38	95.0	 
5	1	5	1	1	1	101	105	211	2	95.0	 
5	1	6	1	1	1	692	83	32	10	82.475174	REF
5	1	6	1	1	2	720	74	6	28	87.941406	:
5	1	6	1	1	3	732	83	12	10	91.516045	FX
5	1	6	1	1	4	750	83	71	10	87.610588	/0204105829
5	1	7	1	1	1	281	130	68	19	92.144844	KIDB
5	1	7	1	1	2	358	130	80	25	95.567726	Money
5	1	7	1	1	3	446	130	122	25	96.443375	Brokerage
5	1	7	1	1	4	576	130	66	25	96.394791	Corp.
5	1	8	1	1	1	221	173	17	9	65.046074	8th
5	1	8	1	1	2	243	173	32	10	89.309875	Floor,
5	1	8	1	1	3	279	173	33	9	93.247177	Seoul
5	1	8	1	1	4	316	173	35	9	92.512817	YWCA
5	1	8	1	1	5	356	173	28	12	85.976608	Bldg.
5	1	8	1	1	6	390	173	29	9	84.489914	11Gil
5	1	8	1	1	7	422	173	16	10	93.218338	20,
5	1	8	1	1	8	442	173	80	12	75.694809	Myeong-dong,
5	1	8	1	1	9	526	173	50	12	89.700264	Jung-gu,
5	1	8	1	1	10	580	173	33	9	90.372017	Seoul
5	1	8	1	1	11	616	173	36	10	96.585999	04538,
5	1	8	1	1	12	656	173	45	9	96.001183	KOREA
5	1	9	1	1	1	212	202	63	12	53.952217	Telephone:
5	1	9	1	1	2	303	200	84	11	53.952217	(82-2)311-7548
5	1	10	1	1	1	101	248	357	2	95.0	 
5	1	11	1	1	1	112	252	45	23	95.0	 
5	1	12	1	1	1	175	262	35	10	80.918503	Meritz
5	1	12	1	1	2	215	262	52	10	84.581009	Securities
5	1	12	1	1	3	271	262	22	10	84.581009	Co.,
5	1	12	1	1	4	298	262	24	10	95.025566	LTD
5	1	13	1	1	1	100	69	2	327	95.0	 
5	1	14	1	1	1	456	248	2	148	95.0	 
5	1	15	1	1	1	101	394	357	2	95.0	 
5	1	16	1	1	1	267	404	11	10	95.0	 
5	1	17	1	1	1	467	202	61	9	36.600452	Facsimile:
5	1	17	1	1	2	549	200	84	11	78.893867	(82-2)311-7552
