level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	38	122	44	8	59.031063	27052021
5	1	1	1	2	1	38	134	44	7	55.274158	27052021
5	1	1	1	3	1	38	145	44	7	51.73267	27.052021
5	1	1	1	4	1	38	156	44	7	39.046143	27052021
5	1	1	1	5	1	38	168	44	7	33.299507	270520021
5	1	1	1	6	1	38	179	44	7	61.807312	27.052021
5	1	1	1	7	1	38	190	44	7	71.130013	27082001
5	1	2	1	1	1	38	225	44	7	40.777641	27082021
5	1	2	1	2	1	38	236	44	7	58.581474	27082021
5	1	2	1	3	1	38	247	44	8	0.0	27.052021
5	1	2	1	4	1	38	259	44	7	36.801605	27082021
5	1	2	1	5	1	38	270	44	7	26.992006	27082021
5	1	2	1	6	1	38	281	44	8	27.320923	27052021
5	1	2	1	7	1	38	293	44	7	38.396156	27052021
5	1	2	1	8	1	38	304	44	7	67.044014	27082021
5	1	3	1	1	1	98	123	23	6	18.209686	nee
5	1	3	1	1	2	124	122	18	7	18.209686	202)
5	1	3	1	2	1	99	134	45	7	11.781559	sios2022
5	1	3	1	3	1	98	145	44	7	17.167835	(04.06.2021
5	1	3	1	4	1	98	156	46	7	53.517879	34052002
5	1	3	1	5	1	98	168	44	7	58.129425	04.06.2021
5	1	3	1	6	1	98	179	46	7	7.731009	34.05.2002,
5	1	3	1	7	1	98	190	44	7	50.236984	01.06.2021
5	1	4	1	1	1	98	259	45	7	55.980988	04.06.2021
5	1	4	1	2	1	98	270	46	7	0.0	3405.2022
5	1	4	1	3	1	98	281	45	8	64.494026	04.06.2021
5	1	4	1	4	1	98	293	46	7	46.863319	34052022
5	1	4	1	5	1	99	304	45	7	36.091789	3.082022
5	1	5	1	1	1	187	122	7	8	17.302208	일
5	1	5	1	1	2	197	122	6	8	22.237606	티
5	1	5	1	1	3	205	122	7	8	30.335007	메
5	1	5	1	1	4	216	122	6	8	91.884048	셋
5	1	5	1	1	5	223	122	8	8	0.0	클
5	1	5	1	1	6	232	122	8	7	23.400984	로
5	1	5	1	1	7	242	122	7	8	41.114449	벌
5	1	5	1	1	8	250	122	9	7	60.369942	08
5	1	5	1	1	9	260	122	8	7	70.015091	오
5	1	5	1	1	10	269	122	7	8	56.080837	퍼
5	1	5	1	1	11	279	122	24	8	48.890686	유니티
5	1	5	1	1	12	310	122	32	8	19.605818	MERA
5	1	5	1	1	13	348	122	33	8	19.605818	BAER
5	1	5	1	1	14	383	122	49	8	0.0	MASAI
5	1	5	1	2	1	187	133	7	8	0.0	럴
5	1	5	1	2	2	197	133	6	9	46.809669	티
5	1	5	1	2	3	205	133	7	8	21.540527	에
5	1	5	1	2	4	215	133	7	9	90.800148	셋
5	1	5	1	2	5	223	133	8	9	0.0	글
5	1	5	1	2	6	233	133	6	7	33.573608	로
5	1	5	1	2	7	242	133	7	9	5.994549	벌
5	1	5	1	2	8	251	133	8	8	0.0	애
5	1	5	1	2	9	260	133	7	7	8.668251	오
5	1	5	1	2	10	269	133	7	8	92.847672	퍼
5	1	5	1	2	11	278	133	7	8	0.0	듀
5	1	5	1	2	12	288	133	15	9	38.103638	니티
5	1	5	1	2	13	310	133	7	8	65.893494	전
5	1	5	1	2	14	319	133	8	8	13.474493	문
5	1	5	1	2	15	328	133	8	8	32.581745	뚜
5	1	5	1	2	16	338	133	7	8	13.522415	자
5	1	5	1	2	17	347	133	7	9	38.30603	형
5	1	5	1	2	18	356	133	7	8	27.092533	사
5	1	5	1	2	19	365	133	7	7	36.160484	무
5	1	5	1	2	20	374	133	7	9	69.488914	투
5	1	5	1	2	21	383	133	8	8	33.345711	자
5	1	5	1	2	22	392	133	7	8	49.081924	신
5	1	5	1	2	23	401	133	8	8	0.0	탁
5	1	5	1	2	24	410	133	7	8	73.128677	제
5	1	5	1	2	25	420	134	2	6	35.048695	!
5	1	5	1	2	26	425	133	6	7	37.851555	호
5	1	5	1	3	1	187	144	7	9	27.353334	멀
5	1	5	1	3	2	197	144	6	9	15.337009	티
5	1	5	1	3	3	205	144	7	9	27.28632	에
5	1	5	1	3	4	214	144	8	9	92.212723	셋
5	1	5	1	3	5	223	144	8	9	0.0	글
5	1	5	1	3	6	232	145	8	7	18.53343	로
5	1	5	1	3	7	242	144	7	9	88.45208	널
5	1	5	1	3	8	249	135	10	28	60.369118	08
5	1	5	1	3	9	260	145	7	7	10.196495	모
5	1	5	1	3	10	269	144	7	9	92.326492	퍼
5	1	5	1	3	11	278	144	8	9	0.0	듀
5	1	5	1	3	12	288	144	16	9	62.461987	니티
5	1	5	1	3	13	313	144	66	9	0.0	MEEKER
5	1	5	1	3	14	383	144	49	9	0.0	Res
5	1	5	1	4	1	187	155	44	9	32.91716	EOS
5	1	5	1	4	2	234	155	42	9	13.743668	SECON
5	1	5	1	4	3	288	145	16	28	44.161297	Ue]
5	1	5	1	4	4	310	155	7	9	58.761147	전
5	1	5	1	4	5	319	156	8	8	15.480137	문
5	1	5	1	4	6	328	155	8	9	25.612873	투
5	1	5	1	4	7	337	155	8	9	92.582169	자
5	1	5	1	4	8	347	156	7	8	0.0	형
5	1	5	1	4	9	356	155	7	9	28.136663	사
